NAME,SINGER
,
I'd Love You To Want Me (CF `코업레지던스`  영화 `슈렉3` OST),Lobo
Stand By Me (영화 `스탠 바이 미`  최진실 주연 영화 `편지` OST),Ben E. King
California Dreaming (영화 `중경삼림`),The Mamas & Papas
Early In The Morning,Cliff Richard
Oh Pretty Woman,Roy Orbison
Only You (광고 `르노 삼성 SM5` CF  영화 `폭력교실`),The Platters
Over The Rainbow (오버 더 레인보우),Judy Garland
You Are My Everything (영화 `좋은놈 나쁜놈 이상한놈`),Santa Esmeralda
The Glow Worm (Single Ver.),Mills Brothers
Because Of You (당신 때문에),Tony Bennett
Cab Driver (Single Ver.),Mills Brothers
Beautiful Sunday (CF `기아자동차 - 비스토  카니발`),Daniel Boone
House Of The Rising Sun (해뜨는 집  드라마 `올인` OST),The Animals
You Needed Me,Anne Murray
Angel Of The Morning (영화 `데드풀: Deadpool` 오프닝 OST),Juice Newton
Can`t Help Falling In Love,Elvis Presley
Top Of The World (탑 오브 더 월드),Lynn Anderson
Sound Of Silence (영화 `졸업`),Gary Lewis & The Playboys
Raindrops Keep Falling On My Head (영화 `내일을 향해 쏴라`),B.J. Thomas
A Time For Us (영화 `로미오와 줄리엣`),The Four Aces
Happy Together (영화 `해피 투게더` OST),The Turtles
Just When I Needed You Most (영화 `개인교수`),Randy Van Warmer
California Dreamin` (캘리포니아 드림 - 영화 `중경삼림` OST),The Mamas & Papas
Kung Fu Fighting (영화 `쿵푸팬더`),Carl Douglas
You Make Me Feel Brand New,The Stylistics
Rain (레인),Jose Feliciano
Delilah (톰존스의 대표곡 딜라일라 : 영화 `아메리칸 허슬`),Tom Jones
Welcome To My World (대한항공 CF광고음악 `짐 리브스`의 명곡),Jim Reeves
When A Man Love A Woman (영화 `남자가 여자를 사랑할 때` OST),Percy Sledge
I Can`t Stop Loving You (멈출 수 없는 사랑),Don Gibson
I`d Love You To Want Me (날 사랑해주길 원해요),Lobo
Paper Doll (Single Ver.),Mills Brothers
How Much Is That Doggie In The Window (애니메이션 `스누피`  광고 `시몬스 침대`),Lita Roza
Can`t Take My Eyes Off You,Frankie Valli
I`ve Been Away Too Long,George Baker Selection
Sad Movies (Make Me Cry) (새드 무비 : 영화 `물고기 자리` OST),Sue Thompson
Anytime,Eddie Fisher
Desperado (데스페라도),Johnny Rodriguez
Woman In Love (우먼 인 러브),The Three Degrees
I`m Walkin` (영화 `플립`),Fats Domino
Sea Of Heartbreak (상심의 바다),Don Gibson
Sealed With A Kiss (Single Version),Brian Hyland
Tie A Yellow Ribbon Round The Old Oak Tree (영화 `노란손수건`),Tony Orlando & Dawn
I Like Chopin (아이 라이크 쇼팽),Gazebo
